Song_Name,onset_strength,chroma_stft,chroma_cqt,chroma_cens,melspectrogram,mfcc,spectral_centroid,spectral_bandwidth,spectral_contrast,spectral_rolloff,tonnetz,zero_crossing_rate
Aditi Singh Sharma - High Rated Gabru (Female Version).mp3,1.5585829,0.3993251,0.50163966,0.2491574692,7.0627294,-1.8111819,2512.244015,2745.921532,21.38076445,5197.796266,0.01549202402,0.05428144447
Amaal Mallik - Zero Hour Mashup 2015(Remix By Dj Kiran Kamath).mp3,1.3704091,0.42288065,0.47501683,0.2417078395,18.97959,4.4032707,2641.350377,3498.785676,20.64455869,6072.479538,0.01479648729,0.04288174604
Anirudh Ravichander - Pori Pathi Vizhum.mp3,1.4758664,0.40979138,0.49142298,0.2495680733,7.932009,0.53382796,3406.63617,3659.06144,20.39637237,7632.464878,0.00871107307,0.06821981128
Badshah - Proper Patola.mp3,1.5950376,0.42215046,0.48553103,0.2525247749,12.572222,-1.0482755,3269.611281,3610.420577,20.39150961,7358.119696,-0.01435808074,0.06640773335
Badshah - She Move It Like.mp3,1.6206425,0.48383495,0.3655143,0.223680608,14.9259615,1.0515118,2836.057656,3116.927351,21.2907141,6203.393641,0.05084586878,0.05604449878
Badshah - Tere Naal Nachna.mp3,1.7617562,0.48343107,0.5181216,0.2531551873,24.2245,2.041244,2737.429742,3179.353337,19.94916109,5952.060423,-0.001518743282,0.0511106529
Big Dhillon - Stand Up - Spoken Word.mp3,1.641015,0.5272444,0.4549167,0.2451481353,8.781038,2.96932,3758.687388,3596.033153,19.41058413,7667.461587,0.02477759136,0.08220549277
Bohemia - Aja Ni Aja.mp3,1.5731716,0.65960896,0.58042485,0.2601670613,22.342888,6.82393,4449.166718,4241.795943,18.09592526,9362.425986,0.005925074024,0.08156567951
Bohemia - Beparwah.mp3,1.4235942,0.4827143,0.5283907,0.2561290269,5.4178915,1.2179056,3771.881723,3833.107056,20.30180022,8316.430374,0.02718682922,0.08267124186
Bohemia - Bijlee.mp3,1.4349597,0.5751238,0.45447043,0.2342272423,2.7435737,-0.7981236,2277.512259,2679.4542,19.01083414,5055.782174,0.0007364644256,0.04423266437
Bohemia - Bumpin My Song.mp3,1.6990769,0.597773,0.5085822,0.2512489237,11.260757,4.874803,2892.07526,3265.012126,19.55046413,6334.640381,-0.005456106194,0.0492952704
Bohemia - Cadillac.mp3,1.5532047,0.4999244,0.45977628,0.2459587342,15.955591,2.3829615,3161.968835,3694.213156,19.62931962,7008.822255,0.01043119727,0.06400708673
Bohemia - Charso Bees (420).mp3,1.4841505,0.5158867,0.4211061,0.2447873853,14.581227,4.481387,3117.023072,3176.724152,20.15422732,6493.403085,-0.02730251584,0.07205426502
Bohemia - Dada.mp3,1.4037255,0.5037188,0.43243122,0.2386500375,12.257719,0.12243425,3227.693712,3492.986313,19.57079467,6889.722265,-0.02888917563,0.06521263193
Bohemia - Desi Munde.mp3,1.6320604,0.5016278,0.42878324,0.2314871736,13.573162,3.0569656,3639.504061,3567.238556,19.59287015,7559.801241,-0.01010691328,0.08690914845
Bohemia - Desi Put Javaan.mp3,1.5585961,0.6133005,0.41502288,0.241136867,22.355635,4.6616416,2018.7033,2948.913164,18.89251509,4628.684633,-0.01851660433,0.02523546999
Bohemia - Dil Acapella.mp3,1.4726094,0.5925319,0.52082384,0.2641228163,17.934317,4.7604356,2220.786722,3096.962629,20.24731682,5293.277663,0.02036820764,0.03972281022
Bohemia - Dil.mp3,1.4726094,0.5925319,0.52082384,0.2641228163,17.934317,4.7604356,2220.786722,3096.962629,20.24731682,5293.277663,0.02036820764,0.03972281022
Bohemia - Diwana.mp3,1.4926269,0.58054143,0.4498358,0.2337122395,8.668369,3.4857876,2489.985905,2865.679107,20.34179496,5707.391757,1.86E-05,0.04846285396
Bohemia - Eitbaar (Trust Me).mp3,1.6345716,0.6399583,0.407825,0.2318140608,20.95182,6.091614,2648.579162,3327.880655,19.81224838,5919.877394,0.02739486215,0.04100152006
Bohemia - Ek Tera Pyar (Love Groove Mix).mp3,1.4657134,0.49669892,0.39903787,0.2353392202,11.546469,1.7015563,2670.024825,2624.548422,20.43364695,5111.075476,-0.02165219334,0.06641291314
Bohemia - Ek Tera Pyar.mp3,1.4809378,0.5292562,0.47535563,0.260888165,9.659585,4.507982,2516.267302,2548.558414,20.29035779,5160.951475,-0.01551564629,0.0598625123
Bohemia - Faqeer.mp3,1.4944243,0.59520954,0.3269472,0.2124435626,18.998285,5.752216,1671.469545,2284.074266,19.65770091,3527.938362,-0.01570134826,0.02754435419
Bohemia - Gol Gol.mp3,1.593942,0.5636982,0.47067654,0.2404279553,21.725376,3.4296412,2645.461137,3338.972511,19.13182125,5925.966001,0.01728579637,0.0394131856
Bohemia - Guess Whos Back Album Introduction.mp3,1.2709594,0.39914042,0.49974915,0.2278138158,7.0163593,-2.7446833,2918.133975,2832.079285,18.28409142,5954.913279,0.008007717175,0.07463663673
Bohemia - Gunagaar (Sinner).mp3,1.5833682,0.51025957,0.45617872,0.2506153772,14.680142,3.0731986,3118.895269,3136.133675,19.45020556,6345.471654,-0.02254145012,0.06459838716
Bohemia - Ishq.mp3,1.675787,0.6085958,0.4912011,0.2542973552,17.07335,6.6463127,2296.886358,2911.005569,19.39517907,5041.105066,-0.003838919535,0.03569720678
Bohemia - Koi Ni.mp3,1.5970348,0.5578562,0.44204408,0.2406700771,20.216429,3.0991633,4167.507957,3946.157072,19.03466951,8620.69572,0.005032779873,0.09619053845
Bohemia - Lak Da Hulara.mp3,1.6459001,0.5302573,0.4766421,0.2530989161,20.927927,4.1142178,2585.119946,3253.995771,18.5326406,5437.128252,-0.005632076321,0.04245620373
Bohemia - Lela.mp3,1.5982622,0.5701872,0.45320156,0.2369455424,20.495398,5.407353,3485.626853,3915.923025,19.57397414,7924.42309,0.002155580125,0.06594033691
Bohemia - Meri Jeet.mp3,1.46296,0.43446094,0.37816077,0.2176681666,13.025945,2.1834877,2741.543485,3259.824373,19.9623698,5851.822674,-0.02643181297,0.05455637979
Bohemia - Na Suno.mp3,1.3964307,0.6087121,0.3748821,0.2175610877,8.395892,1.5817115,2347.33841,3064.499019,19.51564202,5425.193243,0.04370943803,0.0339667429
Bohemia - Nazere Mili.mp3,1.3173293,0.5673236,0.37113112,0.205603307,22.72273,5.0709453,1772.942898,2474.489897,19.11279295,3809.311413,0.01756873465,0.02619596784
Bohemia - Photo.mp3,1.6672597,0.49728608,0.35632214,0.2135541696,22.914202,3.9746294,2539.600131,3219.33327,19.67876212,5600.49913,0.0002389248591,0.0371066992
Bohemia - Punjabi Rap Star (Extended Mix).mp3,1.612082,0.5899009,0.46545413,0.2463044764,18.619093,4.5938225,2113.967159,2848.846497,20.8780141,4641.402939,-0.02976595916,0.03520355605
Bohemia - Punjabi Rap Star.mp3,1.6294951,0.5961815,0.48224545,0.2521378082,17.510376,5.385539,2119.636178,2861.315098,20.36859513,4739.358133,-0.02647252132,0.03535231924
Bohemia - Sahara Lab De.mp3,1.4478387,0.4957405,0.4807604,0.2519471477,16.424198,5.218956,2249.640761,2733.088639,20.25545597,4618.926574,-0.01977463888,0.04365787924
Bohemia - Tittli.mp3,1.4514226,0.48473334,0.40455484,0.2294362028,8.368338,-1.3178285,3071.225314,3296.939771,20.0665088,6927.165569,-0.04859076981,0.06427625874
Bohemia - Zamana Jali.mp3,1.5565419,0.5467997,0.3512391,0.2200093543,12.859617,5.4170203,2459.964347,2993.63347,19.48820444,5402.822652,-0.008627191096,0.04396227957
DIVINE - Farak.mp3,1.5161928,0.44399983,0.42308906,0.229762838,3.4415445,-2.0912328,3126.9546,3410.5342,20.47242002,6706.208985,-0.02533769037,0.06460849095
DIVINE - Jungli Sher.mp3,1.5131325,0.5539195,0.46419954,0.2528828596,13.213165,4.0531015,3060.96459,3591.316162,19.16257823,6683.877716,0.0006687222288,0.05985639704
DIVINE - Junoon.mp3,1.2588569,0.38671255,0.24112293,0.1589772423,5.177052,-6.1087837,2041.520242,2720.131059,20.10544422,4424.673595,0.09609272765,0.03495070803
DIVINE - Kaam 25 - Sacred Games.mp3,1.5180163,0.47349837,0.45074695,0.2306649612,16.351559,-0.34129146,2878.018242,2949.040812,19.55801616,5984.460492,0.02466256529,0.07156556794
DIVINE - Mere Gully Mein (feat Naezy).mp3,1.6050854,0.6243573,0.34110993,0.2247434717,27.987745,3.363825,2756.16081,3286.271437,19.05620992,5806.195808,0.0483491027,0.04018591672
DIVINE - One Side.mp3,1.5780768,0.444969,0.46459875,0.2447760427,5.5219183,-1.3782424,3021.5903,3215.36951,20.78784068,6356.279453,-0.01454794677,0.0628767267
DIVINE - Paintra.mp3,1.5455465,0.45823207,0.48752138,0.2458198769,0.44542634,-7.9596477,4562.164451,3840.69189,19.04875148,9170.524158,-0.00370841678,0.1228405991
DIVINE - Roots (feat Raja Kumari).mp3,1.6776528,0.61613077,0.38284823,0.2329054977,24.654339,6.248025,2225.854394,2927.404724,18.45779788,4886.815536,0.05044200896,0.02973022183
DIVINE - Teesri Manzil.mp3,1.5158772,0.45607874,0.5151858,0.2577317199,16.647995,4.104419,2509.884458,3063.438889,18.99641767,5428.023252,0.02083340269,0.04848822697
