Song_Name,onset_strength,chroma_stft,chroma_cqt,chroma_cens,melspectrogram,mfcc,spectral_centroid,spectral_bandwidth,spectral_contrast,spectral_rolloff,tonnetz,zero_crossing_rate
Ghulam Ali - Chupke Chupke Raat Din.mp3,1.3904966,0.3907861,0.40560558,0.2376388036,4.619595,2.1319134,2464.638005,3102.438285,20.76884808,5232.330663,-0.009787139955,0.0486472952
Ghulam Ali - Hangama Hai Kiu Barbad.mp3,1.4003302,0.33427158,0.40649873,0.2321690829,0.7870497,-6.2536626,1525.353056,1627.181268,20.74299666,2942.458654,0.0345981608,0.0359849897
Ghulam Ali - Koi Raat Aisi Bhi Aaye.mp3,1.3462211,0.3489703,0.34539828,0.2158343311,2.038067,-2.8217227,2086.692093,2413.112463,21.36791319,4238.609213,-0.05742615165,0.05052980612
Ghulam Ali - Woh Nahi Mera Magar - Duet.mp3,1.3074688,0.36094645,0.3623273,0.2216047565,7.1338973,0.31118536,2240.599449,2862.29545,21.55681499,4985.718285,0.01466217058,0.03817652791
Ghulam Ali - Yeh Dil Pagal Dil Mera.mp3,1.388615,0.4497271,0.4821189,0.2510645506,4.9859686,0.6403915,2429.403922,2348.490048,21.36952659,5057.199322,-0.00409101793,0.06286431564
Gulzar - Baarish.mp3,1.3436097,0.41949174,0.44540516,0.2321243934,0.09653619,-13.086403,1606.883043,1920.364513,19.62958773,3108.665771,-0.02429899335,0.0418824858
Gulzar - Haath Chute Bhi.mp3,1.355074,0.42549875,0.44074255,0.2374991572,5.4748816,1.6308559,3566.438766,3604.190865,21.90125206,7593.623112,0.02878533905,0.084329653
Gulzar - Mausam Ka Jhonka.mp3,1.310373,0.4509795,0.41724265,0.2268052895,2.763343,-3.9688263,2552.238116,2853.837737,19.84526098,5224.722123,-0.005391997127,0.06478427738
Gulzar - Mujhko Bhi.mp3,0.9700065,0.3704696,0.4008404,0.2072854445,0.5151961,-11.580804,1377.435892,1890.611282,17.29462068,2764.223505,0.005643025641,0.02823419634
Gulzar - Raat Chand Aur Main.mp3,1.3483673,0.48176858,0.3169667,0.2036507832,5.027145,2.387463,2646.573549,3200.804729,21.6589013,5843.396053,0.049022209,0.05120802804
Jagjit Singh  Chitra Singh - Sarakti Jaye Hai.mp3,1.2553529,0.3386374,0.353718,0.2128790552,1.5077066,-7.48366,1554.759326,2088.362265,20.13144128,3023.798755,0.007648826425,0.03097050216
Jagjit Singh - Aap Agar In Dinon Yahan Hote.mp3,1.4161804,0.37657648,0.40824336,0.236094401,10.718053,2.4768806,2078.376831,2979.051852,21.64750278,4659.241076,-0.04231286186,0.03299541141
Jagjit Singh - Baat Niklegi To.mp3,1.1879325,0.3594837,0.3107648,0.2014050063,2.5113444,-4.031342,1173.205951,1684.130048,21.25665514,2185.619392,-0.002079322671,0.02282665204
Jagjit Singh - Badi Haseen Raat Thi.mp3,1.6783537,0.4499905,0.40314844,0.2334624066,3.105108,-1.5064222,3493.355512,3858.543108,21.56094421,7208.001619,0.00471346764,0.07526544056
Jagjit Singh - Dairo-Haram.mp3,1.4851888,0.43825403,0.47048196,0.247108954,6.53576,0.7990178,2964.148674,3471.098571,20.81997798,6558.200334,0.03589001822,0.06188166796
Jagjit Singh - Dard Apna Likh Na Payee.mp3,1.3089287,0.35336798,0.3688671,0.2187593085,13.500557,2.9244401,2410.783332,3215.393885,21.42378225,5428.710206,0.02272281459,0.04131820938
Jagjit Singh - Din Kuch Aise Guzarta Hai Koi.mp3,1.4530785,0.3834993,0.40018758,0.2326604553,8.816196,0.82907563,3455.432108,3706.574865,21.1066844,7741.884968,0.03350970478,0.07615256616
Jagjit Singh - Gham Ka Khazana Tera Bhi Hai Mera Bhi.mp3,1.3865347,0.38039076,0.39562884,0.2279619563,5.355581,-1.1203882,2707.340861,3230.398192,21.6252805,5900.684601,0.06276786084,0.05321614629
Jagjit Singh - Haath Chhute Bhi To Rishtey Nahi Chhoda Karte.mp3,1.3812559,0.31270364,0.33416802,0.2085792777,1.1493311,-7.338664,3929.900553,3918.881037,21.40991402,8974.783471,-0.02027439554,0.08926046334
Jagjit Singh - Hoshwalon Ko Khabar Kya (From Sarfarosh).mp3,1.3252361,0.4067709,0.40548941,0.2331365568,1.5602882,-1.8878046,3015.339124,3136.261586,20.98775175,6194.291991,-0.04356574109,0.07210226115
Jagjit Singh - Ishq Ki Dastaan Hai Pyare.mp3,1.2786108,0.3458801,0.36337483,0.2164450686,3.3979778,-3.736992,1379.421651,1827.120744,20.63436141,2827.034818,-0.04161742588,0.02680088357
Jagjit Singh - Kabhi Yun Bhi To Ho.mp3,1.3119015,0.42018366,0.31588802,0.2058667561,1.2423924,-1.275759,2283.819357,2632.949716,22.03443734,4995.318777,-0.03259614104,0.05053165622
Jagjit Singh - Kagaz Ki Kashti.mp3,1.2565114,0.34145743,0.32323775,0.2057973651,3.3308969,-4.444561,1583.088469,1989.82579,21.3701165,3055.755674,0.01485668036,0.0342761986
Jagjit Singh - Kainat Chale.mp3,1.3874501,0.37097204,0.3939764,0.2317307795,11.924119,3.963795,1783.830449,2209.348093,22.03650989,3872.300716,0.01850769669,0.03681760983
Jagjit Singh - Kal Chaudhvi Ki Raat.mp3,1.3419079,0.37626433,0.4829897,0.2542554224,0.37259573,-7.2161765,2130.818134,2290.566855,20.06853941,4281.024357,-0.0335942114,0.05182610209
Jagjit Singh - Kuch Na Kuch (From Visions - Vol 2).mp3,1.3685485,0.37100196,0.37532744,0.2229494632,0.6054495,-5.2173114,2775.127829,3250.547174,21.14766637,6087.093473,0.0411143065,0.05647766621
Jagjit Singh - La Pila De Sharab Ai Saqi.mp3,1.3714154,0.35935834,0.4204646,0.231667708,5.8880544,-1.2461773,1698.242531,2324.868115,21.54574437,3506.232208,0.02225197984,0.03393597407
Jagjit Singh - Main Nashe Mein Hoon - Live.mp3,1.3743393,0.40252602,0.4508157,0.2433378767,1.6207178,-3.5716677,1691.745799,2118.067652,20.79367217,3468.373671,0.002834896206,0.03352464687
Jagjit Singh - Main Nashe Mein Hoon.mp3,1.3743393,0.40252602,0.4508157,0.2433378767,1.6207178,-3.5716677,1691.745799,2118.067652,20.79367217,3468.373671,0.002834896206,0.03352464687
Jagjit Singh - Pratham Aa Chumban.mp3,1.3381201,0.38707453,0.3801168,0.2260915688,4.883228,-1.7923132,2181.606072,3269.627052,22.08980935,4692.752651,-0.0461492889,0.03700367988
Jagjit Singh - Pyaar Ka Pehla Khat.mp3,1.3664833,0.39479846,0.36595246,0.2191788706,13.727589,2.116007,2403.798178,2855.886737,20.38785464,5381.887123,-0.0163627235,0.04803682791
Jagjit Singh - Sacchi Baat.mp3,1.2686546,0.359452,0.32682878,0.2033299306,9.086331,0.0022403288,1591.69032,2261.040088,21.21900726,3075.402363,0.07394737506,0.02899963571
Jagjit Singh - Sajaye Payi Hain.mp3,1.257147,0.3775345,0.38515827,0.2153171223,2.7389643,0.0020362083,1605.397844,1929.890485,21.32209794,3233.891035,0.03066974945,0.03612819181
Jagjit Singh - Samne Hai Jo Use.mp3,1.2024566,0.35533234,0.30184636,0.1950700197,1.3745861,-3.9703925,2083.253741,2853.569127,21.70004404,4828.703543,-0.06276591995,0.0367641605
Jagjit Singh - Shaam Se Aankh Mein Nami Si Hai.mp3,1.4034774,0.3765061,0.37733263,0.2198972927,5.434587,0.8536811,2574.844057,3077.350375,21.62746751,5703.742027,0.005798119644,0.05227362988
Jagjit Singh - Shayad Aa Jayega Saqi Ko.mp3,1.2094853,0.36796713,0.3151018,0.2044946817,1.3992884,-3.6859965,1720.615226,2369.011136,20.87549019,3620.833757,-0.02685977775,0.03136297658
Jagjit Singh - Shayad Main Zindagi Ki Sahar.mp3,1.4750621,0.31612432,0.41913533,0.2286031242,1.7393525,-5.005675,1614.476161,2223.822989,22.46371831,3217.432253,0.01711279372,0.03207599892
Jagjit Singh - Tera Chehra Kitna Suhana Lagta Hai (From Unique).mp3,1.3198301,0.41926432,0.4965401,0.2496567586,6.9057026,0.34600386,2431.986164,2842.284302,20.61028255,5340.970812,-0.001666334907,0.05482435915
