,Song_Name,onset_strength,chroma_stft,chroma_cqt,chroma_cens,melspectrogram,mfcc,spectral_centroid,spectral_bandwidth,spectral_contrast,spectral_rolloff,tonnetz,zero_crossing_rate
0,bhojpuri/Annu - Tohar Jhol Piya.opus,1.6030379447485499,0.37976100743970026,0.5593133088264113,0.2661573000307215,13.299356893784923,2.749790644567533,3757.3249886319823,4058.274169724861,21.772958635678236,8185.536014446666,0.00021861338076027264,0.07902349783640741
1,bhojpuri/Ravi Kunwar - Ae Nando.opus,1.6079407701079937,0.3967092261503452,0.6051929329727765,0.2729713672648951,6.765534924021357,1.8159705960169024,4270.203395035166,4655.810253690428,20.22816665675799,9181.516198802105,-0.0011952681424905504,0.08232460573556326
2,bhojpuri/Pawan Singh - Lollypop Lageli.opus,1.7571568595788436,0.43131289193123973,0.6169972976513142,0.2731588896532282,4.023803133414925,1.4913017761656195,3223.9739241033626,3408.4520210237665,20.36277411101911,6739.128249865332,-0.0020150145580038682,0.06770772476749896
3,bhojpuri/Vinod Deewana - Satal Rahab Saiya Ke Kora Me.opus,1.7621056553077479,0.4058330335544153,0.6320243760538606,0.28067968070234345,18.904963253142377,2.2057913956291992,2696.3257443577345,2874.002414310277,20.492749781413718,5526.03160808549,0.0010989053258618794,0.05266788358734604
4,bhojpuri/Vijay Banaras Yadav - Chumma Chapkauwa.opus,1.785909902793875,0.39149149290155066,0.5482748267685064,0.26478910281121093,2.8841906707176244,-3.373513344191452,2978.3294699636326,3132.067471002905,20.833634816887123,6179.764299540745,0.0012652940602181162,0.06388126123823396
5,bhojpuri/Annu - Balam Ji Dihale.opus,1.4627146249762453,0.3560784898915029,0.5066886387429553,0.2598501498654717,14.194394886179076,2.4767941901540445,2998.389756539178,3261.0444953281117,19.97123924700063,6183.987954008078,-0.001625625436095003,0.0668644335879774
6,bhojpuri/Khesari Lal Yadav - Daal De Kewadi Mein Killi.opus,1.5249800754750047,0.4487765146916878,0.5586832206643663,0.2632132235419286,12.225813542049119,4.189297146218738,3289.1755001866095,3853.9567371833446,19.337872671616466,7045.30843760156,-0.0011875288458191165,0.06126237021483317
7,bhojpuri/Ritesh Pandey - Gori Tor Chunari.opus,1.4985671367316447,0.3594364913725229,0.5552518019958647,0.2675714367771046,30.83716485016078,4.03378538932228,2750.790932543127,3132.874568980841,18.43119624852584,5713.728258985323,-0.0014148161082516925,0.055178207702530915
8,bhojpuri/Vijay Banaras Yadav - Kamar Lapalap Lapke.opus,1.4444404676786704,0.3574246935775717,0.509120460172857,0.25409554976530785,16.54332507636885,1.242178454228487,2589.7537030864046,2946.854356731905,20.48483895921378,5068.770911018031,0.015437681405859237,0.056505017646664456
9,bhojpuri/Ashok Sonar - Bhatar Nahi Aaya.opus,1.4836123910329249,0.3674109330212392,0.6085134874449977,0.2726166048667862,13.968160741690303,5.580723886490612,2397.283094101616,2730.316619271111,20.98178439306508,4629.1683985792015,-0.002583507325312126,0.055701677475375355
10,bhojpuri/Ravi Raj Surender - Bihar Wala Chhauda.opus,1.676506163415386,0.3560006820298458,0.5551041460978361,0.2718067423779705,15.490810495479753,-1.7471085154680963,2883.981498733345,2806.979522125446,21.211281891901884,5492.617331831756,0.0020829161708315535,0.06806080103729058
11,bhojpuri/Sanjit Sharma - Lagake Facewash.opus,1.572787396999379,0.3714955887558917,0.5970177310546682,0.27141164885755065,21.6713268605259,5.715594865499794,4344.133525533881,4446.26486037876,19.109471964521298,9098.605605025616,0.008094856906560486,0.08641455995364723
12,bhojpuri/Swan Singh - Jab Jab Saiya Kare.opus,1.4999843654445684,0.41387944966095236,0.5622327522058644,0.26530026975829957,8.208851642747243,2.793598965168859,2761.0435459020773,3468.8375407494314,21.111026212321494,5826.055385255828,0.003551017721130145,0.04930692051575588
13,bhojpuri/Pradum Lal - Kamkarat Naikhe.opus,1.5369571207535675,0.34309971141011963,0.5158188915398223,0.25628963337325944,17.078049871420315,-0.904782666887213,3486.4632144727584,3659.820696520029,20.833719539334204,7518.568227933717,0.009597892000747094,0.06777856745293653
14,bhojpuri/Ankur Singh - Shikar Ho Jaibu.opus,1.5443727625076478,0.38250385075772597,0.499261432543366,0.25023741878723815,16.702635782678477,4.075323810665289,3590.7865434516034,3902.1624800304467,21.290368456572967,7608.823007412042,-0.010051550134358843,0.06942521797690956
15,bhojpuri/Om Prakash - Radha Ji Panghat Pe.opus,1.3754767749467358,0.2926447844569007,0.4342117796060091,0.2398519515316859,1.7971731703547469,-7.200691752905843,2411.4712167333055,2784.2179290526356,21.04973604338299,4350.1469252576535,0.009394458901830821,0.054744799900434744
